Date,Time,Block,Freq (Hz),Actual (MW),Schedule (MW),Deviation (MW),Deviation (%),NCD,Actual_ERPC,actual,scheduled,deviation,percent,frequency,Ncd_values,price
3/1/2024,0:15,1,50.0,402.03636,385.84,16.19636,4.197688,351.84,-14246.35,-100.50909,-96.46,-4.049090000000007,4.197688,50.0,351.84,-14246.318256000022
3/1/2024,0:30,2,50.01,419.199996,385.84,33.359996,8.64607,351.73,-29334.28,-104.799999,-96.46,-8.339999000000006,8.64607,50.01,351.73,-29334.27848270002
3/1/2024,0:45,3,50.0,402.909084,385.84,17.069084,4.423876,351.49,-14999.13,-100.727271,-96.46,-4.267271000000008,4.423876,50.0,351.49,-14999.030837900029
3/1/2024,1:00,4,49.99,395.63636,385.84,9.79636,2.53897,345.41,-8459.44,-98.90909,-96.46,-2.4490900000000124,2.53897,49.99,345.41,-8459.401769000044
3/1/2024,1:15,5,49.96,383.41818,385.84,-2.42182,0.627675,332.86,1813.92,-95.854545,-96.46,0.6054549999999921,0.627675,49.96,332.86,1813.7857616999763
3/1/2024,1:30,6,49.99,389.818176,385.84,3.978176,1.031043,329.21,-3273.99,-97.454544,-96.46,-0.9945440000000048,1.031043,49.99,329.21,-3274.1383024000156
3/1/2024,1:45,7,49.97,411.63636,385.84,25.79636,6.685766,320.74,-20684.84,-102.90909,-96.46,-6.449090000000012,6.685766,49.97,320.74,-20684.81126600004
3/1/2024,2:00,8,49.98,434.909084,385.84,49.069084,12.717469,320.43,-40761.13,-108.727271,-96.46,-12.267271000000008,12.717469,49.98,320.43,-40761.01975836003
3/1/2024,2:15,9,49.96,420.654544,385.84,34.814544,9.023052,320.37,-27883.72,-105.163636,-96.46,-8.703636000000003,9.023052,49.96,320.37,-27883.83865320001
3/1/2024,2:30,10,49.96,432.290904,385.84,46.450904,12.038903,320.52,-38254.83,-108.072726,-96.46,-11.61272600000001,12.038903,49.96,320.52,-38254.931250240035
