Date,Time,Block,Freq (Hz),Actual (MW),Schedule (MW),Deviation (MW),Deviation (%),NCD,Actual_ERPC
3/1/2024,0:15,1,50,402.03636,385.84,16.19636,4.197688,351.84,-14246.35
3/1/2024,0:30,2,50.01,419.199996,385.84,33.359996,8.64607,351.73,-29334.28
3/1/2024,0:45,3,50,402.909084,385.84,17.069084,4.423876,351.49,-14999.13
3/1/2024,1:00,4,49.99,395.63636,385.84,9.79636,2.53897,345.41,-8459.44
3/1/2024,1:15,5,49.96,383.41818,385.84,-2.42182,0.627675,332.86,1813.92
3/1/2024,1:30,6,49.99,389.818176,385.84,3.978176,1.031043,329.21,-3273.99
3/1/2024,1:45,7,49.97,411.63636,385.84,25.79636,6.685766,320.74,-20684.84
3/1/2024,2:00,8,49.98,434.909084,385.84,49.069084,12.717469,320.43,-40761.13
3/1/2024,2:15,9,49.96,420.654544,385.84,34.814544,9.023052,320.37,-27883.72
3/1/2024,2:30,10,49.96,432.290904,385.84,46.450904,12.038903,320.52,-38254.83
3/1/2024,2:45,11,49.98,436.072724,385.84,50.232724,13.019056,320.4,-41875.77
3/1/2024,3:00,12,49.97,431.999996,385.84,46.159996,11.963507,326.06,-38631.59
3/1/2024,3:15,13,49.98,422.399992,385.84,36.559992,9.475428,326.72,-29862.21
3/1/2024,3:30,14,49.96,435.490904,385.84,49.650904,12.868262,325.08,-41919.85
3/1/2024,3:45,15,49.99,422.690904,385.84,36.850904,9.550825,324.78,-29921.01
3/1/2024,4:00,16,50.02,441.309084,385.84,55.469084,14.376188,324.51,-47510.73
3/1/2024,4:15,17,49.98,450.61818,385.84,64.77818,16.788871,327.2,-57042.08
3/1/2024,4:30,18,49.97,460.799996,385.84,74.959996,19.427741,337.96,-69241.24
3/1/2024,4:45,19,49.98,454.690904,385.830356,68.860548,17.847364,339.59,-63361.11
3/1/2024,5:00,20,49.99,458.47272,385.84,72.63272,18.82457,347.36,-68741.99
3/1/2024,5:15,21,49.97,460.509084,385.84,74.669084,19.352344,372.31,-75954.07
3/1/2024,5:30,22,49.99,459.927268,385.84,74.087268,19.201552,382.04,-77272.02
3/1/2024,5:45,23,49.99,482.036356,385.84,96.196356,24.93167,388.69,-104397.94
3/1/2024,6:00,24,50.03,461.672724,385.84,75.832724,19.65393,389.1,-80737.63
3/1/2024,6:15,25,50.06,432.872724,385.84,47.032724,12.189696,413.12,0
3/1/2024,6:30,26,50.01,435.490904,385.84,49.650904,12.868262,514.97,-66406.62
